"GeneName"	"logFC"
"ADAM12"	3.59111173577752
"LAYN"	-2.40286316099247
"AKR1C3"	2.94887421013474
"PARVB"	2.13348020142518
"FUCA2"	4.58894419771343
"TESC"	-1.94452229475297
"S100A10"	5.02303590437279
"TAP2"	3.96421139403276
"LINC00478"	1.64082108918529
"ETV4"	3.20932023140015
"ADAMTS20"	-1.79126292535649
"P2RX6"	0.845577130179308
"FAM198B"	2.06726822614947
"HIST1H2BB"	3.66894174854171
"TSPYL5"	4.63512145725701
"DTX3L"	2.43994803589506
"ARG2"	-1.85169585966215
"SIAE"	1.86307301264296
"SYT6"	-2.02185118700027
"GPX7"	4.03786029502748
"HIST1H2BI"	2.72415064624321
"SLC46A3"	2.32343227993144
"TDRD7"	1.67002848137604
"SPRY4"	3.56443438111852
"LGALS3BP"	2.5831950311436
"HPDL"	-2.49117154444927
"OAS3"	2.30602677156593
"KDM1A"	-1.07527608495673
"PTPRE"	0.983480141168635
"RNF122"	-1.71429537274599
"ETV1"	2.3565652734881
"EIF5A2"	0.69916484729205
"ARMC9"	0.847580868736046
"ZDHHC1"	0.714043638546135
"ARID5B"	2.14638453993644
"NT5E"	3.19932055401719
"KCNB2"	-2.22327144644405
"IGSF1"	-2.51448582865726
"PCDH17"	1.4920283825762
"FERMT2"	0.888880109567559
"METTL16"	-0.809749497884026
"MRPL33"	0.767582419364933
"NDRG2"	1.78394920927638
"PVRL2"	1.12646071584665
"BRP44"	0.547707752338193
"SLC2A3"	2.37295402718252
"TRMT11"	-0.727773251417913
"NR1H2"	0.622515026468886
"MIPOL1"	2.24236257265801
"ITM2B"	0.62385779591245
"PLEKHA6"	1.66677095507156
"BTN3A3"	1.7925229282647
"DUSP6"	3.42984695407868
"BCHE"	4.61213355881078
"LRRC8C"	0.839363227032063
"NUMB"	0.868112515238533
"HSPA4L"	-1.10032407592174
"DGCR5"	-0.658260606207421
"CSRP1"	2.97193655281686
"SPG21"	-0.469842724714173
"RASSF3"	0.926582433516556
"CTH"	-1.84898583181881
"TMEM115"	0.839214348350277
"EDEM3"	1.00328448269504
"TAPBPL"	0.714765046526268
"CDC42EP3"	1.2830317971448
"DFFA"	-0.874512995161783
"PC"	0.684266723601532
"ZNF416"	0.517549088312796
"GPM6A"	-2.07892450093089
"PDLIM5"	2.03744997544306
"KIF1B"	-1.04605927716083
"LOC388152"	-0.695971766283131
"APOBEC3F"	2.0617676934149
"VWA5A"	1.78395056851458
"C1orf135"	-1.21285369668956
"HIST1H3F"	1.78276835485349
"PCDH9"	1.24080752525047
"HIST1H3C"	1.23959875744365
"SLC25A43"	1.35114584961953
"GREB1L"	-2.53392307060185
"SLC25A33"	-0.852858858680229
"C1orf21"	1.28014507265867
"JHDM1D"	-1.13980204305525
"HIPK2"	-0.863583566443555
"IFNAR1"	0.542029425266545
"IRF2"	1.03744471414567
"EIF4G3"	-0.712153975516566
"VGF"	1.28605068555214
"SLIT2"	-2.78722978550243
"SLC38A5"	-1.93450134121011
"MSRA"	0.943297885290121
"FAM50B"	1.20086556587916
"KCNN1"	-0.808395097661344
"C9orf129"	0.809378020349238
"TIMP1"	1.66624772196693
"NALCN"	-1.43079086778904
"FBXO4"	1.76912601806684
"SSPN"	0.977878715451815
"PGM2L1"	-1.09456058053531
"NUPL1"	-0.480905250367275
"DNA2"	-0.682782603811207
"NDNF"	-1.70145538086914
"CIB2"	-1.05654440812325
"DUSP10"	1.29527257207061
"SDC4"	2.0832387763664
"ODZ2"	-1.4533718541435
"PLP2"	1.67159697430912
"SLC31A2"	1.48120534927268
"ARMCX1"	2.73612234758799
"C1GALT1C1"	0.828153609199287
"LTBP3"	0.490363304673998
"TMEM50A"	-0.452568567038172
"CST3"	0.926187178693045
"POLD4"	0.713491235357528
"HLA-DPB1"	1.12571424001866
"TMEM178A"	-0.968958679665465
"FKTN"	0.811947292470221
"TAPBP"	1.62877851683063
"GDF11"	0.562550162797912
"KLHL8"	-0.805807447835011
"LAMA1"	-1.90674954254323
"RFX2"	0.65203080232993
"CNKSR1"	-0.444406709223959
"NDUFAF3"	0.526424079880224
"PDK1"	-1.41814514114959
"TRIM56"	0.490247385179421
"APOL2"	0.597730749902407
"SHPRH"	-0.713124914649917
"LOC93432"	0.655699685910518
"ZBTB38"	1.44496783078275
"CEP85"	-1.07176075526867
"FBXO42"	-0.833447710244194
"MYO6"	-1.51462308972033
"GPR108"	2.11196243569559
"EPN1"	0.46411833581338
"PEX5L"	-1.93614298466404
"PPP1R3C"	1.57816528662548
"DUSP5P"	-1.12435956450557
"SLC35D2"	2.08366370812392
"HTR2B"	2.93575816788662
"B2M"	1.18398885416188
"AMBRA1"	-0.464297141027112
"LPHN3"	-3.1542536552497
"WSB1"	-0.871583591682597
"TM9SF1"	0.584246629574199
"FAM74A1"	-0.452285081726058
"FAM86B2"	0.532409682842861
"GPAA1"	0.59306659785177
"LRRC37B"	-0.997845723697383
"MIR600HG"	-0.860796126810156
"TMEM100"	1.48321304821134
"GREM2"	2.20426971084103
"RNF152"	0.92310922533397
"PARP14"	2.0494463030858
"LPL"	-2.13618653982709
"CXorf1"	-0.491089084950461
"NMI"	2.49874242607878
"GALNTL1"	-1.36386859797053
"CTC1"	-0.589918658989765
"LGR5"	1.84906620991747
"POLB"	-0.64214778126351
"CTSB"	0.809716886083773
"AGPAT3"	0.707270267049386
"SOX5"	-1.88871576299323
"HEXB"	0.554433424633093
"CENPL"	0.575558346280547
"ZBTB40"	-0.474436046551681
"DEDD2"	-0.547737084166691
"SLC25A5"	0.473716609550451
"PPID"	-0.680706384896382
"SFRP2"	0.89298386909748
"CTNND2"	-2.61429413794972
"TMEM65"	0.865514678951845
"STUB1"	0.53281644357625
"NELL1"	-2.11129434506008
"KIAA0100"	-0.442336135572852
"CTDSP2"	0.543222134255613
"FAM86JP"	0.514346628341924
"KCNK10"	-0.880312583575662
"USP45"	-0.685786947948074
"CYP27A1"	1.2338765110262
"C4orf29"	-0.829417147585019
"ZNF627"	-0.448032924046132
"ABHD11"	0.531618849474672
"RIMS3"	-0.923678667018873
"LINC00189"	2.21379490251307
"NDN"	1.58125498897127
"NKAIN1"	-1.6850784844059
"HTR3A"	-1.46215540959692
"RAB11FIP4"	-1.20690399851577
"JUN"	-1.16705035401466
"SLC6A9"	-0.53086578691692
"ACBD5"	1.16768945753386
"ABAT"	0.935478684324073
"MAPK4"	-1.29832479672705
"STX17"	0.836489404477703
"HIST1H1D"	1.7951305197278
"EXOSC10"	-0.528254307666774
"ZNF286A"	-0.845275224349715
"C14orf162"	-1.07414489478473
"HNRNPR"	-0.416380762932523
"USP3"	-0.519592747862475
"FBLN1"	-1.27796522214132
"CFC1"	-0.731531901752035
"TOX3"	-2.23153507549624
"WBP5"	1.10825848342815
"ALKBH2"	-0.818709087886617
"S100A6"	0.824003500156032
"TRNAQ50P"	-0.723665482348695
"PAK1"	-1.00742808183112
"SPATA20"	1.57508032377878
"HSPBP1"	0.435210476426498
"PLD1"	1.46727307739487
"STAT1"	0.884268968536585
"DHX33"	-0.446372491118137
"SEPT3"	-1.02866026358402
"LMF1"	1.11396082950022
"CCDC77"	-0.548133619053033
"PARP12"	1.46619274614606
"HLA-B"	0.953544289546484
"MAPKAPK2"	1.11799018255355
"BSDC1"	-0.76052956409708
"EDNRA"	3.36115210877811
"AKT1S1"	0.471509648455109
"SNORD28"	-0.767954677617485
